stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
17,cross_candidate,5,294.0,291.0,304.0,99.9,97.2,100.0,0.0,0.0,0.0,99.4,96.0,99.5,1.405,1.223,1.637,0.0,0.0,0.0,0.994,0.962,0.998
17,cross_baseline,5,44.0,41.0,45.0,44.8,25.3,68.2,0.0,0.0,0.1,0.2,0.1,0.5,0.448,0.253,0.682,0.0,0.0,0.003,0.004,0.002,0.005
18,same_candidate,5,451.0,346.0,539.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,1.065,1.038,1.447,2.0,2.0,2.0,1.432,1.003,1.858
18,same_baseline,5,189.0,84.0,296.0,4.4,3.5,48.6,100.0,100.0,100.0,46.4,0.2,91.5,0.044,0.035,0.486,2.0,2.0,2.0,0.466,0.003,0.92
18,cross_candidate,5,297.0,283.0,302.0,100.0,95.8,100.0,0.0,0.0,0.0,99.5,94.2,100.0,1.45,1.233,1.667,0.0,0.0,0.0,0.995,0.944,1.0
18,cross_baseline,5,46.0,45.0,48.0,44.1,27.5,65.8,0.0,0.0,0.0,0.1,0.1,0.2,0.441,0.275,0.658,0.0,0.0,0.0,0.001,0.001,0.005
19,same_candidate,5,461.0,351.0,573.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.8,100.0,1.064,1.043,1.497,2.0,2.0,2.0,1.512,1.001,1.997
19,same_baseline,5,202.0,81.0,310.0,6.7,3.3,43.3,100.0,100.0,100.0,51.0,0.1,99.2,0.067,0.033,0.433,2.0,2.0,2.0,0.512,0.001,0.994
19,cross_candidate,5,298.0,276.0,302.0,100.0,95.2,100.0,0.0,0.0,0.0,99.8,92.4,99.8,1.436,1.215,1.628,0.0,0.0,0.0,0.999,0.927,1.002
19,cross_baseline,5,46.0,45.0,49.0,44.3,28.3,64.8,0.0,0.0,0.0,0.0,0.0,0.2,0.443,0.283,0.648,0.0,0.0,0.0,0.0,0.0,0.002
20,same_candidate,5,545.0,360.0,582.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,1.406,1.055,1.453,2.0,2.0,2.0,1.848,0.998,2.0
20,same_baseline,5,282.0,85.0,313.0,37.1,4.0,48.8,100.0,100.0,100.0,84.8,0.7,99.5,0.371,0.04,0.49,2.0,2.0,2.0,0.853,0.01,0.996
20,cross_candidate,5,301.0,295.0,304.0,100.0,99.3,100.0,0.0,0.0,0.1,99.7,99.0,100.0,1.487,1.233,1.589,0.0,0.0,0.003,0.998,0.99,1.0
20,cross_baseline,5,45.0,44.0,46.0,52.2,29.5,69.2,0.0,0.0,0.0,0.2,0.1,0.3,0.522,0.295,0.692,0.0,0.0,0.0,0.006,0.005,0.007
