platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3568,idle,64M,SP,1,10.63,,,10.63,10.63,not shown (single run; n<5)
RK3568,idle,128M,SP,1,18.63,,,18.63,18.63,not shown (single run; n<5)
RK3568,idle,256M,SP,1,11.88,,,11.88,11.88,not shown (single run; n<5)
RK3568,idle,128K,C3,1,4.17,,,4.17,4.17,not shown (single run; n<5)
RK3568,idle,256K,C3,1,4.88,,,4.88,4.88,not shown (single run; n<5)
RK3568,idle,512K,C3,1,4.75,,,4.75,4.75,not shown (single run; n<5)
RK3568,idle,1M,C3,1,7.21,,,7.21,7.21,not shown (single run; n<5)
RK3568,idle,2M,C3,1,7.04,,,7.04,7.04,not shown (single run; n<5)
RK3568,idle,4M,C3,1,8.75,,,8.75,8.75,not shown (single run; n<5)
RK3568,idle,8M,C3,1,9.5,,,9.5,9.5,not shown (single run; n<5)
RK3568,idle,16M,C3,1,9.63,,,9.63,9.63,not shown (single run; n<5)
RK3568,idle,32M,C3,1,11.29,,,11.29,11.29,not shown (single run; n<5)
RK3568,idle,64M,C3,1,9.17,,,9.17,9.17,not shown (single run; n<5)
RK3568,idle,128M,C3,1,9.75,,,9.75,9.75,not shown (single run; n<5)
RK3568,idle,256M,C3,1,10.88,,,10.88,10.88,not shown (single run; n<5)
RK3568,stress,128K,Baseline,1,24.08,,,24.08,24.08,not shown (single run; n<5)
RK3568,stress,256K,Baseline,1,26.63,,,26.63,26.63,not shown (single run; n<5)
RK3568,stress,512K,Baseline,1,48.17,,,48.17,48.17,not shown (single run; n<5)
RK3568,stress,1M,Baseline,1,40.88,,,40.88,40.88,not shown (single run; n<5)
RK3568,stress,2M,Baseline,1,84.75,,,84.75,84.75,not shown (single run; n<5)
RK3568,stress,4M,Baseline,1,119.13,,,119.13,119.13,not shown (single run; n<5)
RK3568,stress,8M,Baseline,1,114.71,,,114.71,114.71,not shown (single run; n<5)
RK3568,stress,16M,Baseline,1,94.79,,,94.79,94.79,not shown (single run; n<5)
RK3568,stress,32M,Baseline,1,88.79,,,88.79,88.79,not shown (single run; n<5)
RK3568,stress,64M,Baseline,1,89.33,,,89.33,89.33,not shown (single run; n<5)
RK3568,stress,128M,Baseline,1,95.42,,,95.42,95.42,not shown (single run; n<5)
RK3568,stress,256M,Baseline,1,89.83,,,89.83,89.83,not shown (single run; n<5)
RK3568,stress,128K,WP,1,33.42,,,33.42,33.42,not shown (single run; n<5)
RK3568,stress,256K,WP,1,23.71,,,23.71,23.71,not shown (single run; n<5)
RK3568,stress,512K,WP,1,35.29,,,35.29,35.29,not shown (single run; n<5)
RK3568,stress,1M,WP,1,53.46,,,53.46,53.46,not shown (single run; n<5)
RK3568,stress,2M,WP,1,87.88,,,87.88,87.88,not shown (single run; n<5)
RK3568,stress,4M,WP,1,132.83,,,132.83,132.83,not shown (single run; n<5)
RK3568,stress,8M,WP,1,115.88,,,115.88,115.88,not shown (single run; n<5)
RK3568,stress,16M,WP,1,92.42,,,92.42,92.42,not shown (single run; n<5)
RK3568,stress,32M,WP,1,114.38,,,114.38,114.38,not shown (single run; n<5)
RK3568,stress,64M,WP,1,134.63,,,134.63,134.63,not shown (single run; n<5)
RK3568,stress,128M,WP,1,107.13,,,107.13,107.13,not shown (single run; n<5)
RK3568,stress,256M,WP,1,104.63,,,104.63,104.63,not shown (single run; n<5)
RK3568,stress,128K,SP,1,30.96,,,30.96,30.96,not shown (single run; n<5)
RK3568,stress,256K,SP,1,31.92,,,31.92,31.92,not shown (single run; n<5)
RK3568,stress,512K,SP,1,44.75,,,44.75,44.75,not shown (single run; n<5)
RK3568,stress,1M,SP,1,80.33,,,80.33,80.33,not shown (single run; n<5)
RK3568,stress,2M,SP,1,62,,,62,62,not shown (single run; n<5)
RK3568,stress,4M,SP,1,144.79,,,144.79,144.79,not shown (single run; n<5)
RK3568,stress,8M,SP,1,123.96,,,123.96,123.96,not shown (single run; n<5)
RK3568,stress,16M,SP,1,65.54,,,65.54,65.54,not shown (single run; n<5)
RK3568,stress,32M,SP,1,59.08,,,59.08,59.08,not shown (single run; n<5)
RK3568,stress,64M,SP,1,73.46,,,73.46,73.46,not shown (single run; n<5)
RK3568,stress,128M,SP,1,77.83,,,77.83,77.83,not shown (single run; n<5)
RK3568,stress,256M,SP,1,59.67,,,59.67,59.67,not shown (single run; n<5)
RK3568,stress,128K,C3,1,18.29,,,18.29,18.29,not shown (single run; n<5)
RK3568,stress,256K,C3,1,16.33,,,16.33,16.33,not shown (single run; n<5)
RK3568,stress,512K,C3,1,25.83,,,25.83,25.83,not shown (single run; n<5)
RK3568,stress,1M,C3,1,32.63,,,32.63,32.63,not shown (single run; n<5)
RK3568,stress,2M,C3,1,48,,,48,48,not shown (single run; n<5)
RK3568,stress,4M,C3,1,43.21,,,43.21,43.21,not shown (single run; n<5)
RK3568,stress,8M,C3,1,32.5,,,32.5,32.5,not shown (single run; n<5)
RK3568,stress,16M,C3,1,35.25,,,35.25,35.25,not shown (single run; n<5)
RK3568,stress,32M,C3,1,35.75,,,35.75,35.75,not shown (single run; n<5)
RK3568,stress,64M,C3,1,28.5,,,28.5,28.5,not shown (single run; n<5)
RK3568,stress,128M,C3,1,47.13,,,47.13,47.13,not shown (single run; n<5)
RK3568,stress,256M,C3,1,36.88,,,36.88,36.88,not shown (single run; n<5)
