platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3568,stress,256K,Baseline,1,45.63,,,45.63,45.63,not shown (single run; n<5)
RK3568,stress,512K,Baseline,1,48.79,,,48.79,48.79,not shown (single run; n<5)
RK3568,stress,1M,Baseline,1,94.71,,,94.71,94.71,not shown (single run; n<5)
RK3568,stress,2M,Baseline,1,114.04,,,114.04,114.04,not shown (single run; n<5)
RK3568,stress,4M,Baseline,1,127.83,,,127.83,127.83,not shown (single run; n<5)
RK3568,stress,8M,Baseline,1,169.42,,,169.42,169.42,not shown (single run; n<5)
RK3568,stress,16M,Baseline,1,116.79,,,116.79,116.79,not shown (single run; n<5)
RK3568,stress,32M,Baseline,1,127.96,,,127.96,127.96,not shown (single run; n<5)
RK3568,stress,64M,Baseline,1,123.63,,,123.63,123.63,not shown (single run; n<5)
RK3568,stress,128M,Baseline,1,83.17,,,83.17,83.17,not shown (single run; n<5)
RK3568,stress,256M,Baseline,1,87.75,,,87.75,87.75,not shown (single run; n<5)
RK3568,stress,128K,WP,1,33.71,,,33.71,33.71,not shown (single run; n<5)
RK3568,stress,256K,WP,1,28.83,,,28.83,28.83,not shown (single run; n<5)
RK3568,stress,512K,WP,1,45.63,,,45.63,45.63,not shown (single run; n<5)
RK3568,stress,1M,WP,1,75.5,,,75.5,75.5,not shown (single run; n<5)
RK3568,stress,2M,WP,1,119.67,,,119.67,119.67,not shown (single run; n<5)
RK3568,stress,4M,WP,1,106.29,,,106.29,106.29,not shown (single run; n<5)
RK3568,stress,8M,WP,1,128.71,,,128.71,128.71,not shown (single run; n<5)
RK3568,stress,16M,WP,1,122.92,,,122.92,122.92,not shown (single run; n<5)
RK3568,stress,32M,WP,1,130.63,,,130.63,130.63,not shown (single run; n<5)
RK3568,stress,64M,WP,1,160.54,,,160.54,160.54,not shown (single run; n<5)
RK3568,stress,128M,WP,1,112.92,,,112.92,112.92,not shown (single run; n<5)
RK3568,stress,256M,WP,1,102.83,,,102.83,102.83,not shown (single run; n<5)
RK3568,stress,128K,SP,1,33.54,,,33.54,33.54,not shown (single run; n<5)
RK3568,stress,256K,SP,1,34.17,,,34.17,34.17,not shown (single run; n<5)
RK3568,stress,512K,SP,1,39.08,,,39.08,39.08,not shown (single run; n<5)
RK3568,stress,1M,SP,1,48.42,,,48.42,48.42,not shown (single run; n<5)
