bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
2,7,same_original_matching,259.0,253.0,274.0,5
2,7,same_probe_only_flipped,253.0,250.0,265.0,5
2,8,cross_original_matching,30.0,30.0,46.0,5
2,8,cross_probe_only_flipped,32.0,30.0,61.0,5
2,8,same_original_matching,286.0,283.0,301.0,5
2,8,same_probe_only_flipped,290.0,285.0,297.0,5
2,9,cross_original_matching,47.0,41.0,69.0,5
2,9,cross_probe_only_flipped,46.0,36.0,84.0,5
2,9,same_original_matching,284.0,277.0,301.0,5
2,9,same_probe_only_flipped,282.0,275.0,295.0,5
2,10,cross_original_matching,49.0,34.0,87.0,5
2,10,cross_probe_only_flipped,51.0,38.0,95.0,5
2,10,same_original_matching,285.0,270.0,292.0,5
2,10,same_probe_only_flipped,281.0,268.0,312.0,5
2,11,cross_original_matching,53.0,48.0,108.0,5
2,11,cross_probe_only_flipped,54.0,41.0,113.0,5
2,11,same_original_matching,281.0,277.0,292.0,5
2,11,same_probe_only_flipped,286.0,276.0,297.0,5
2,12,cross_original_matching,67.0,37.0,110.0,5
2,12,cross_probe_only_flipped,65.0,36.0,103.0,5
2,12,same_original_matching,292.0,285.0,311.0,5
2,12,same_probe_only_flipped,317.0,303.0,348.0,5
2,13,cross_original_matching,69.0,59.0,107.0,5
2,13,cross_probe_only_flipped,70.0,48.0,82.0,5
2,13,same_original_matching,337.0,334.0,351.0,5
2,13,same_probe_only_flipped,341.0,336.0,367.0,5
2,14,cross_original_matching,207.0,120.0,265.0,5
2,14,cross_probe_only_flipped,165.0,110.0,269.0,5
2,14,same_original_matching,348.0,330.0,368.0,5
2,14,same_probe_only_flipped,357.0,344.0,366.0,5
2,15,cross_original_matching,217.0,179.0,261.0,5
2,15,cross_probe_only_flipped,237.0,201.0,271.0,5
2,15,same_original_matching,374.0,345.0,447.0,5
2,15,same_probe_only_flipped,372.0,338.0,426.0,5
2,16,cross_original_matching,277.0,276.0,289.0,5
2,16,cross_probe_only_flipped,300.0,279.0,323.0,5
2,16,same_original_matching,351.0,337.0,399.0,5
2,16,same_probe_only_flipped,373.0,350.0,404.0,5
2,17,cross_original_matching,294.0,290.0,318.0,5
2,17,cross_probe_only_flipped,294.0,288.0,307.0,5
2,17,same_original_matching,423.0,336.0,468.0,5
2,17,same_probe_only_flipped,391.0,337.0,449.0,5
2,18,cross_original_matching,294.0,267.0,317.0,5
2,18,cross_probe_only_flipped,301.0,275.0,307.0,5
2,18,same_original_matching,489.0,408.0,556.0,5
2,18,same_probe_only_flipped,508.0,402.0,561.0,5
2,19,cross_original_matching,298.0,289.0,314.0,5
2,19,cross_probe_only_flipped,307.0,295.0,320.0,5
2,19,same_original_matching,530.0,439.0,558.0,5
2,19,same_probe_only_flipped,524.0,430.0,600.0,5
2,20,cross_original_matching,302.0,291.0,319.0,5
2,20,cross_probe_only_flipped,307.0,295.0,319.0,5
2,20,same_original_matching,542.0,513.0,548.0,5
2,20,same_probe_only_flipped,543.0,523.0,551.0,5
3,0,cross_original_matching,27.0,27.0,30.0,5
3,0,cross_probe_only_flipped,27.0,27.0,28.0,5
3,0,same_original_matching,27.0,27.0,29.0,5
3,0,same_probe_only_flipped,27.0,27.0,28.0,5
3,1,cross_original_matching,27.0,27.0,30.0,5
